timestamp,gameid,gametitle,genre,videoid,lemonlinks,thumblink,pdflink,disklinks,sorttitle
10/11/2025 08:41:02,arachnophobia,Arachnophobia,"Arcade Games, Horror Games, Licensed Games",Ylp9xluAs6U,https://www.lemon64.com/game/arachnophobia,https://raw.githubusercontent.com/joepentony-dot/GAME-THUMBNAILS/main/Arcade%20Game%20Thumbs/arachnophobia.jpg,https://drive.google.com/file/d/1rOXvD1VKAaA7DUb-PqbZa2gUv80V9x7x/view?usp=drive_link,https://drive.google.com/file/d/17yBoWAp8fUb3BOT7X-ogvDIwkju0eHOf/view?usp=drive_link,Arachnophobia
10/11/2025 08:41:02,arcade_classics,Arcade Classics,Arcade Games,cjv960nDsw0,https://www.lemon64.com/game/arcade-classics,https://raw.githubusercontent.com/joepentony-dot/GAME-THUMBNAILS/main/Arcade%20Game%20Thumbs/arcade_classics.jpg,https://drive.google.com/file/d/1Y4Le0FwWQT9V0dP-iDorV3m8fbVquCtl/view?usp=drive_link,https://drive.google.com/file/d/1B41CY4NUc111VAd66FbNMm2jBead8viJ/view?usp=drive_link,Arcade Classics
10/11/2025 08:41:02,arcade_flight_simulator,Arcade Flight Simulator,Arcade Games,2y6Hd9WCOyg,https://www.lemon64.com/game/arcade-flight-simulator,https://raw.githubusercontent.com/joepentony-dot/GAME-THUMBNAILS/main/Arcade%20Game%20Thumbs/arcade_flight_simulator.jpg,https://drive.google.com/file/d/1lnqA_qMP88me7bsaRnhyWJ6OjII5tE6u/view?usp=drive_link,https://drive.google.com/file/d/1N88ZIhoSpC9zLcA9v-SZ2uk3t69ddJyR/view?usp=drive_link,Arcade Flight Simulator
14/11/2025 08:26:33,arcade_pool,Arcade Pool,"Sports Games, Strategy Games, Top Picks",l2VMct3Jjis,https://www.lemonamiga.com/games/details.php?id=520,https://raw.githubusercontent.com/joepentony-dot/GAME-THUMBNAILS/main/Sports%20Games%20Thumbs/arcade_pool.png,https://drive.google.com/file/d/14G-oE5WbUPNAh6sguQsiNlHUCwqRlweo/view?usp=drive_link,https://drive.google.com/file/d/171F-pm0Iixdaeq40Gr8z4CUmjMz0F3hL/view?usp=drive_link,Arcade Pool
14/11/2025 08:26:33,archon:_the_light_and_the_dark,Archon: The Light And The Dark,"Strategy Games, Top Picks",xTIc4AKoMuI,https://www.lemon64.com/game/archon,https://raw.githubusercontent.com/joepentony-dot/GAME-THUMBNAILS/main/Strategy%20Game%20Thumbs/archon.jpg,https://drive.google.com/file/d/1no3_ZMU-Pmg8gQnDmF2gGGKIcdUpeutW/view?usp=drive_link,https://drive.google.com/file/d/1DxuYCJrp0-XQiU3XbWJHD_zIEJ37eEb9/view?usp=drive_link,Archon
10/11/2025 08:41:02,arctic_shipwreck,Arctic Shipwreck,Arcade Games,Ce6zzYUX3IA,https://www.lemon64.com/game/arctic-shipwreck,https://raw.githubusercontent.com/joepentony-dot/GAME-THUMBNAILS/main/Arcade%20Game%20Thumbs/arctic_shipwreck_new.png,,https://drive.google.com/file/d/1xHqX1V7Nc0Hh8xxXkfBdB9WG55Oramwf/view?usp=drive_link,Arctic Shipwreck
10/11/2025 08:41:02,arkanoid,Arkanoid,"Arcade Games, Top Picks",d8Hr1pyb6cw,https://www.lemon64.com/game/arkanoid,https://raw.githubusercontent.com/joepentony-dot/GAME-THUMBNAILS/main/Arcade%20Game%20Thumbs/arkanoid.jpg,https://drive.google.com/file/d/1T8tvxmvkHNIeKB0-yJqR10rhPr6ShvHn/view?usp=drive_link,https://drive.google.com/file/d/1rojnga2cw-Zq0TLRqYy-mALDf4tavhP2/view?usp=drive_link,Arkanoid
10/11/2025 08:41:02,army_moves,Army Moves,"BPJS Games, Shooting Games",NuLjSVc9ms8,https://www.lemon64.com/game/army-moves,https://raw.githubusercontent.com/joepentony-dot/GAME-THUMBNAILS/main/BPJS%20Indexed%20Thumbs/army_moves_.jpg,https://drive.google.com/file/d/1ncHPwt_xVFf_Eu7naV3Mn5U-pbHuPK2K/view?usp=drive_link,https://drive.google.com/file/d/1-S383tkiDZQnPIrBMddEVttZHJ5mSrNW/view?usp=drive_link,Army Moves
10/11/2025 08:41:02,arnie,Arnie,"Arcade Games, Shooting Games",F0N2ndVOHmQ,https://www.lemon64.com/game/arnie,https://raw.githubusercontent.com/joepentony-dot/GAME-THUMBNAILS/main/Arcade%20Game%20Thumbs/arnie.jpg,https://drive.google.com/file/d/1X6CCmACI0NnDExoMDOICcpaiNvN7n086/view?usp=drive_link,https://drive.google.com/file/d/1zW6dFrfwbXo7h5hr1_4pl3gQfIKi_4r-/view?usp=drive_link,Arnie
10/11/2025 08:41:02,asterix_and_the_magic_cauldron,Asterix And The Magic Cauldron,"Arcade Games, Action Adventure Games, Licensed Games",0UpyNEswzgM,https://www.lemon64.com/game/asterix-and-the-magic-cauldron,https://raw.githubusercontent.com/joepentony-dot/GAME-THUMBNAILS/main/Arcade%20Game%20Thumbs/asterix_new.png,https://drive.google.com/file/d/1H39Fr6CErkI4XXnK8NavVub-2-1qx8DY/view?usp=drive_link,https://drive.google.com/file/d/1Tjf7N3nfIUzH9g_46Qu_F0Pu-mNE0Vb4/view?usp=drive_link,Asterix And The Magic Cauldron
